city,name,address,lat,lng
北京,北京市政府,北京市东城区正义路2号,39.910842,116.413625
上海,上海市政府,人民大道200号,31.236301,121.480236
天津,天津市政府,河西区友谊路30号,39.089478,117.207137
重庆,重庆市政府,人民路232号,29.569115,106.558106
深圳,深圳市政府,福中三路,22.548558,114.065944
广州,广州市人民政府,府前路1号市政府大院,23.135309,113.270793
杭州,杭州市人民政府,杭州市环城北路318号,30.278995,120.162141
南京,南京市政府,北京东路41号,32.064795,118.802961
武汉,武汉市政府,沿江大道188号,30.598428,114.311831
成都,成都市政府,成都市高新区锦悦西路2号,30.578829,104.072138
苏州,苏州市政府,三香路998号,31.307033,120.591426
大连,大连市政府,人民广场1号,38.919666,121.621331
厦门,厦门市人民政府,厦门市湖滨北路61号,24.48582,118.095904
西安,西安市政府,西安市凤城八路109号,34.347655,108.946167
长沙,长沙市政府,岳麓大道218号,28.234266,112.945393
宁波,宁波市政府,宁波市江东区宁穿路2001号,29.865922,121.630872
东莞,东莞市政府,鸿福路99号,23.026998,113.758231
无锡,无锡市人民政府,江苏省无锡市滨湖区新金匮路1,31.497554,120.318843
福州,福州市政府,16路;54路;66路;77路;86路;97路;106路;117路;125路;159路;173路;201路;303路;k3路,26.079199,119.300905
沈阳,沈阳市政府,沈阳市浑南区沈中大街206号,41.683555,123.47174
青岛,青岛市政府,香港中路11号,36.073168,120.389013
济南,济南市政府,龙鼎大道1号龙奥大厦7层,36.658194,117.126488
南昌,南昌市政府,新府路118号,28.688335,115.864758
合肥,合肥市人民政府,东流路100号合肥市政务中心,31.82671,117.233591
郑州,郑州市人民政府,中原西路233号,34.753434,113.631768
太原,太原市政府,新建路69号,37.876818,112.555136
石家庄,石家庄市人民政府,中山东路216号,38.048656,114.521291
长春,长春市政府,人民大街10111号,43.822408,125.330097
哈尔滨,哈尔滨市政府,世纪大道1号,45.808985,126.541745
呼和浩特,呼和浩特市政府,新华东街1号,40.84856,111.75521
海口,海口市政府,秀英区长滨一路政府第二办公区,20.050057,110.206424
南宁,南宁市政府,广西南宁市嘉宾路1号,22.823559,108.372625
兰州,兰州市政府,南滨河东路637号,36.067222,103.840702
昆明,昆明市政府,云南省昆明市盘龙区东风东路17号,24.886083,102.839608
贵阳,贵阳市政府,林城东路7号,26.653316,106.636767
西宁,西宁市政府,南关街43号,36.623364,101.78446
银川,银川市政府,北京中路166号,38.492392,106.238976
乌鲁木齐,乌鲁木齐市政府,新疆维吾尔自治区乌鲁木齐市水磨沟区南湖东路30号,43.831486,87.623193
温州,温州市政府,绣山路321号行政管理中心,28.000845,120.705869
潍坊,潍坊市政府,奎文区高新技术开发区胜利东街99号,36.713212,119.168207
包头,包头市人民政府,开元大街1号,40.625491,109.964278
北海,北海市人民政府,广东南路新世纪大道,21.455319,109.147035
常州,常州市政府,龙城大道1280号1号楼B座19-21层,31.81668,119.98061
桂林,桂林市政府,西城中路69号,25.241523,110.18627
嘉兴,嘉兴市政府,广场路1号,30.752272,120.762075
南通,南通市政府,世纪大道6号,31.986434,120.90088
唐山,唐山市政府,西山道3号,39.636658,118.18664
徐州,徐州市政府,昆仑大道1号徐州市行政中心北2区1楼,34.212506,117.290666
镇江,镇江市政府,南徐大道68号市行政中心1号楼21～26楼,32.194859,119.431414
扬州,扬州市人民政府,江苏省扬州市文昌西路8号,32.400669,119.419395
佛山,佛山市政府,佛山市禅城区岭南大道北12号,23.027706,113.128432
惠州,惠州市政府,云山西路6号行政中心,23.116409,114.423348
昆山,昆山市政府,前进中路108号,31.391402,120.987443
廊坊,廊坊市政府,河北省廊坊市广阳区广阳道,39.543954,116.690151
连云港,连云港市政府,朝阳东路69号,34.602389,119.228231
洛阳,洛阳市政府,开元大道228,34.62438,112.460446
秦皇岛,秦皇岛市政府,河北省秦皇岛市海港区西快速路,39.895272,119.523492
三亚,三亚市政府,新风街,18.258481,109.518177
汕头,汕头市政府,跃进路28号汕头市政府大楼,23.360142,116.688467
烟台,烟台市政府,芙蓉路6号,37.469867,121.454425
中山,中山市人民政府,松苑路1号市政府大院,22.524036,113.399141
珠海,珠海市政府,人民东路2号,22.276439,113.583183
吉林,吉林市政府,船营区松江中路65号,43.843511,126.556073
金华,金华市政府,双龙南街801号,29.085526,119.653907
泉州,泉州市人民政府,东海街道海星街泉州市行政服务中心,24.880242,118.682316
赣州,赣州市政府,长征大道8号,25.837179,114.94126
宜昌,宜昌市政府,沿江大道102号,30.697661,111.292981
湛江,湛江市政府,跃进路67号,21.276623,110.365946
江门,江门市人民政府,白沙大道西1号,22.58444,113.088185
舟山,舟山市政府,新城海天大道681号,29.991093,122.214339
鞍山,鞍山市政府,胜利南路36号,41.114831,123.000764
宝鸡,宝鸡市政府,代家湾行政中心1号楼9楼,34.368711,107.245043
保定,保定市政府,东风西路1号,38.88005,115.47105
德州,德州市政府,德州市开发区东风东路1566号,37.441323,116.365633
东营,东营市政府,府前大街77号,37.43999,118.681045
鄂尔多斯,鄂尔多斯市政府,康巴什新区政府大楼,39.614744,109.787492
邯郸,邯郸市政府,高开区海关大楼,36.631194,114.545866
菏泽,菏泽市政府,中华路1111号,35.239384,115.487203
湖州,湖州市政府,仁皇山路666号,30.900221,120.093291
宿迁,宿迁市政府,南湖路1号,33.967685,118.282063
江阴,江阴市政府,澄江中路9号,31.92579,120.29197
聊城,聊城市政府,东昌西路24号南楼2020室,36.46268,115.991887
柳州,柳州市政府,柳州市三中路66号,24.331565,109.423189
马鞍山,马鞍山市政府,太白大道2008号,31.675542,118.51297
绵阳,绵阳市人民政府,涪城区绵兴东路98号,31.473364,104.686164
日照,日照市政府,北京路198号,35.422769,119.533325
淮安,淮安市政府,翔宇南道1号,33.556636,119.119937
台州,台州市政府,白云山南路233号,28.662341,121.427186
泰州,泰州市政府,凤凰东路58号,32.461976,119.92955
威海,威海市政府,新威路1号,37.518856,122.127927
吴江,吴江区人民政府,开平路1000号B座,31.144883,120.651737
芜湖,芜湖市政府,芜湖市政通路66号(政务中心),31.358797,118.439561
湘潭,湘潭市政府,芙蓉中路,27.835849,112.950575
新乡,新乡市政府,人民东路甲1号,35.308968,113.933871
营口,营口市人民政府,辽宁省营口市大石桥市人民大街5号,40.650824,122.515429
张家港,张家港市政府,杨舍镇人民中路33号,31.881286,120.562062
株洲,株洲市政府,天台路58号,27.833701,113.140386
淄博,淄博市政府,人民西路8号,36.819183,118.061254
衡水,衡水市政府,河北省衡水市桃城区育才南大街369号,37.745278,115.675944
绍兴,绍兴市政府,曲屯路286号,30.03653,120.586673
常熟,常熟市政府,金沙江路10号,31.6595,120.758883
