city,上海,南京,无锡,常州,苏州,南通,扬州,镇江,泰州,杭州,宁波,嘉兴,湖州,绍兴,金华,台州,合肥,芜湖,马鞍山
上海,0,0.003703238,0.00875471,0.006398422,0.011763893,0.010030057,0.004274275,0.004517287,0.004999388,0.00606454,0.006552715,0.011482474,0.007272294,0.006320891,0.003375033,0.003504179,0.002447647,0.003450642,0.003494138
南京,0.003703238,0,0.006379596,0.008718465,0.005284243,0.005041055,0.014489819,0.01638558,0.00870145,0.004226198,0.002748209,0.004230216,0.005616156,0.003545506,0.002939267,0.002203935,0.006635226,0.011692439,0.019551731
无锡,0.00875471,0.006379596,0,0.020937412,0.029904363,0.012931294,0.007611723,0.008759332,0.008842245,0.0073569,0.00453966,0.010773919,0.014361786,0.006097794,0.003637235,0.00301246,0.003391484,0.005576266,0.005795949
常州,0.006398422,0.008718465,0.020937412,0,0.012350246,0.011227943,0.011953018,0.014988445,0.013943438,0.005835607,0.0037348,0.007167724,0.009786947,0.004861789,0.003285183,0.002656977,0.003845102,0.006458898,0.007145948
苏州,0.011763893,0.005284243,0.029904363,0.012350246,0,0.012368766,0.006084804,0.006777444,0.007014848,0.008253993,0.005310201,0.015716453,0.015262809,0.007099574,0.003812588,0.003288852,0.003087122,0.004881094,0.004958947
南通,0.010030057,0.005041055,0.012931294,0.011227943,0.012368766,0,0.006800318,0.007110925,0.009464399,0.004950732,0.004077812,0.007274087,0.007001757,0.004581755,0.002914337,0.00268846,0.002879191,0.004105972,0.004373258
扬州,0.004274275,0.014489819,0.007611723,0.011953018,0.006084804,0.006800318,0,0.043762278,0.02063627,0.004071193,0.002846179,0.004487967,0.005610872,0.003512041,0.002715777,0.002188143,0.004632243,0.00675108,0.008514076
镇江,0.004517287,0.01638558,0.008759332,0.014988445,0.006777444,0.007110925,0.043762278,0,0.018026969,0.00447362,0.003004833,0.004904547,0.00638154,0.003795848,0.002895446,0.002293566,0.004725332,0.007576558,0.009596613
泰州,0.004999388,0.00870145,0.008842245,0.013943438,0.007014848,0.009464399,0.02063627,0.018026969,0,0.004114398,0.003026876,0.004869212,0.00575163,0.003621814,0.002664814,0.002246951,0.003789092,0.005358759,0.00626286
杭州,0.00606454,0.004226198,0.0073569,0.005835607,0.008253993,0.004950732,0.004071193,0.00447362,0.004114398,0,0.006719201,0.012836627,0.014453701,0.020433827,0.00708506,0.004604594,0.003048976,0.004909042,0.004527281
宁波,0.006552715,0.002748209,0.00453966,0.0037348,0.005310201,0.004077812,0.002846179,0.003004833,0.003026876,0.006719201,0,0.007752707,0.005346351,0.009750529,0.00475401,0.007414783,0.002112279,0.002874603,0.002780771
嘉兴,0.011482474,0.004230216,0.010773919,0.007167724,0.015716453,0.007274087,0.004487967,0.004904547,0.004869212,0.012836627,0.007752707,0,0.015138668,0.012327843,0.004683657,0.004159109,0.00280556,0.004316852,0.004210486
湖州,0.007272294,0.005616156,0.014361786,0.009786947,0.015262809,0.007001757,0.005610872,0.00638154,0.00575163,0.014453701,0.005346351,0.015138668,0,0.009360689,0.004864246,0.003576696,0.003438718,0.006034477,0.00577058
绍兴,0.006320891,0.003545506,0.006097794,0.004861789,0.007099574,0.004581755,0.003512041,0.003795848,0.003621814,0.020433827,0.009750529,0.012327843,0.009360689,0,0.007201422,0.005786833,0.002653139,0.003959114,0.003717676
金华,0.003375033,0.002939267,0.003637235,0.003285183,0.003812588,0.002914337,0.002715777,0.002895446,0.002664814,0.00708506,0.00475401,0.004683657,0.004864246,0.007201422,0,0.005579146,0.00261391,0.003599772,0.003253637
台州,0.003504179,0.002203935,0.00301246,0.002656977,0.003288852,0.00268846,0.002188143,0.002293566,0.002246951,0.004604594,0.007414783,0.004159109,0.003576696,0.005786833,0.005579146,0,0.001870325,0.002408484,0.00229217
合肥,0.002447647,0.006635226,0.003391484,0.003845102,0.003087122,0.002879191,0.004632243,0.004725332,0.003789092,0.003048976,0.002112279,0.00280556,0.003438718,0.002653139,0.00261391,0.001870325,0,0.00795764,0.008171894
芜湖,0.003450642,0.011692439,0.005576266,0.006458898,0.004881094,0.004105972,0.00675108,0.007576558,0.005358759,0.004909042,0.002874603,0.004316852,0.006034477,0.003959114,0.003599772,0.002408484,0.00795764,0,0.02792856
马鞍山,0.003494138,0.019551731,0.005795949,0.007145948,0.004958947,0.004373258,0.008514076,0.009596613,0.00626286,0.004527281,0.002780771,0.004210486,0.00577058,0.003717676,0.003253637,0.00229217,0.008171894,0.02792856,0
