,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
上海,0.001261299,0.001105854,0.000819391,0.000670088,0.000415945,0.000272119,0.000184016,9.49E-05,5.45E-05,4.88E-05,6.72E-05,0.000109085,0.000170416,0.000241573,0.000317614,0.000393878,0.000466521,0.000532467,0.000589807
无锡,0.003556819,0.000889854,-0.00042764,-0.00047927,-8.64E-05,-0.000444258,-0.00070954,-0.000767627,-0.000710512,-0.000680978,-0.000631031,-0.000549287,-0.000439709,-0.000328346,-0.000224813,-0.000132244,-5.24E-05,1.06E-05,5.48E-05
嘉兴,0.002781236,0.000254784,0.000573883,-4.72E-05,-0.000294006,-0.000463546,-0.000583254,-0.000630527,-0.000622706,-0.000588596,-0.000524056,-0.00043885,-0.000344274,-0.00024718,-0.000154294,-7.21E-05,-4.20E-06,4.76E-05,8.27E-05
南通,0.001927701,0.001703058,0.001154923,0.000145002,-0.000483319,-0.000897751,-0.001135134,-0.001301558,-0.00138419,-0.001389773,-0.00132157,-0.001200505,-0.001041427,-0.000864212,-0.000684795,-0.000515976,-0.000366002,-0.00024141,-0.000146226
合肥,0.00180574,0.001424643,0.001265521,0.001064534,0.000855852,0.00068925,0.000565723,0.000447664,0.000352688,0.000282656,0.000236721,0.000212536,0.000207826,0.000217971,0.000240227,0.000271447,0.0003085,0.000348242,0.000388171
苏州,0.001308168,0.002072025,0.0008391,0.000682357,-9.31E-05,-0.00039784,-0.000781812,-0.00092483,-0.000999269,-0.000925613,-0.000785497,-0.000575533,-0.000342208,-0.000103204,0.000114111,0.000296723,0.000433395,0.000521559,0.00056243
台州,0.001056571,0.000353859,-0.001733656,-0.000626815,-0.000336751,-0.000600981,-0.000883908,-0.000898679,-0.000844516,-0.000800036,-0.000758419,-0.00070545,-0.00063508,-0.000559699,-0.000491946,-0.000434638,-0.000386989,-0.000350083,-0.000325278
镇江,0.000820925,0.000180651,-8.93E-05,-0.00017962,-0.00024909,-0.000271936,-0.000260413,-0.000245232,-0.000218786,-0.000184803,-0.000147215,-0.00010676,-6.47E-05,-2.47E-05,1.12E-05,4.18E-05,6.66E-05,8.52E-05,9.78E-05
南京,0.00078232,0.002216589,0.001894199,0.001499181,0.00123446,0.001275389,0.001111109,0.000855929,0.000585695,0.000395745,0.000220693,7.68E-05,-3.90E-05,-0.000106156,-0.000134911,-0.000125519,-8.60E-05,-1.84E-05,6.91E-05
扬州,0.000625827,0.00127053,-0.000251732,-0.000440219,-0.000623634,-0.00028273,-0.000265517,-0.00032184,-0.000461758,-0.000463882,-0.000404844,-0.000339127,-0.000314794,-0.000302909,-0.000282394,-0.00024829,-0.0002165,-0.00019603,-0.000186184
湖州,0.000606204,0.000116381,0.000652843,-0.000351778,-0.000379882,-0.00041175,-0.000445134,-0.000470776,-0.000453637,-0.00045048,-0.000407773,-0.000361105,-0.000310716,-0.000260649,-0.000211536,-0.000170373,-0.000136589,-0.000111441,-9.49E-05
金华,0.000579021,-0.000168898,-0.000327489,-0.000451627,-0.000586081,-0.000644239,-0.000663121,-0.000680762,-0.000662699,-0.000621516,-0.00057149,-0.000513291,-0.000451206,-0.000391866,-0.00033819,-0.000292367,-0.000255953,-0.000229715,-0.000213642
杭州,0.00049208,-0.000241123,-1.38E-05,-8.21E-05,-0.000211382,-0.000216291,-0.0002212,-0.000231297,-0.000218167,-0.000201304,-0.000185105,-0.000166331,-0.000149078,-0.00013447,-0.000121549,-0.000110301,-0.000100638,-9.20E-05,-8.38E-05
常州,-0.000326691,-0.000822277,-0.00030437,-0.00091125,-0.001116752,-0.000998372,-0.001036683,-0.001025058,-0.000926536,-0.00084325,-0.00075503,-0.000652476,-0.000556948,-0.000471567,-0.0003958,-0.000334239,-0.000287887,-0.00025605,-0.00023831
芜湖,-0.000470526,-0.000559517,-0.000716397,-0.000713624,-0.000686278,-0.00061256,-0.000526218,-0.000435421,-0.000349519,-0.000273937,-0.000211819,-0.000164062,-0.000130527,-0.000110354,-0.000101933,-0.000103334,-0.00011246,-0.000127253,-0.000145782
宁波,-0.000527453,-0.00088178,0.000695403,-7.98E-05,-0.000140489,-0.000312553,-0.000371556,-0.000425282,-0.000432449,-0.000464469,-0.000462774,-0.000441964,-0.000413917,-0.000380149,-0.000340787,-0.000300972,-0.000263046,-0.000229047,-0.000200284
马鞍山,-0.001160855,0.000202815,0.000119387,-4.99E-05,-0.000234787,-0.000291228,-0.000268727,-0.000290377,-0.00029971,-0.000304359,-0.000292301,-0.000272416,-0.000248288,-0.0002268,-0.000205131,-0.000184422,-0.000165101,-0.000148881,-0.000136081
泰州,-0.001296223,-0.001153746,-0.000914674,-0.000884949,-0.00092387,-0.000902352,-0.000857759,-0.00081729,-0.000776199,-0.000735369,-0.000697314,-0.000663614,-0.000635592,-0.000614499,-0.000600421,-0.000593051,-0.000591836,-0.000596075,-0.000604911
绍兴,-0.00196058,-0.000237973,2.44E-05,-0.000162132,-0.000365708,-0.000386191,-0.000457593,-0.000495243,-0.000505664,-0.000511361,-0.000505063,-0.000487771,-0.00046657,-0.000443147,-0.000418829,-0.000396438,-0.000377386,-0.000362584,-0.000352609
